thisN,trials.key_resp.corr,trials.key_resp.rt,,,,SeqRT,ranRT,,,,,
88,1,0.3186534,,,,0.3186534,0.6807132,-0.3620598,,,,
89,1,0.2958708,,,,0.2958708,0.7190468,-0.423176,,,,
90,1,0.2499954,,,,0.2499954,0.7632241,-0.5132287,,,,
91,1,0.0712271,,,,0.0712271,0.6883144,-0.6170873,,,,
92,1,0.3502841,,,,0.3502841,0.7630453,-0.4127612,,,,
93,1,0.311581,,,,0.311581,0.5973687,-0.2857877,,,,
94,1,0.2990011,,,,0.2990011,0.7201943,-0.4211932,,,,
95,1,0.2939031,,,,0.2939031,0.802139,-0.5082359,,,,
96,1,0.3155217,,,,0.3155217,1.5696322,-1.2541105,,,,
97,1,0.5666016,,,,0.5666016,0.7990844,-0.2324828,,,,
98,1,0.4113425,,,,0.4113425,0.9037234,-0.4923809,,,,
99,1,0.3905244,,,,0.3905244,0.7381894,-0.347664999,,,,
100,1,0.3344433,,,,0.3344433,1.6355879,-1.3011446,,,,
101,1,0.2492676,,,,0.2492676,0.704512,-0.4552444,,,,
102,1,0.6045763,,,,0.6045763,0.7794247,-0.1748484,,,,
103,1,0.3369992,,,,0.3369992,0.6198407,-0.2828415,,,,
104,1,0.3594757,,,,0.3594757,0.6396725,-0.2801968,,,,
105,1,0.3799947,,,,0.3799947,0.6563641,-0.2763694,,,,
106,1,0.3695775,,,,0.3695775,0.6662058,-0.2966283,,,,
107,1,0.3059585,,,,0.3059585,0.664986,-0.3590275,,,,
108,1,0.3876306,,,,0.3876306,1.1490872,-0.7614566,,,,
109,1,0.3361816,,,,0.3361816,0.820052,-0.4838704,,,,
110,1,0.3714775,,,,0.3714775,0.6179627,-0.2464852,,,,
111,1,0.2855233,,,,0.2855233,0.8237924,-0.5382691,,,,
112,1,0.3147463,,,,0.3147463,0.8064424,-0.4916961,,,,
113,1,0.3787608,,,,0.3787608,0.7357906,-0.3570298,,,,
114,1,0.3952819,,,,0.3952819,0.7479998,-0.3527179,,,,
115,1,0.4816233,,,,0.4816233,0.9864645,-0.504841201,,,,
116,1,0.7484899,,,,0.7484899,0.8028931,-0.0544032,,,,
117,1,0.3155971,,,,0.3155971,0.7145354,-0.3989383,,,,
118,1,1.1921212,,,,1.1921212,0.9874875,0.2046337,,,,
119,1,0.3012627,,,,0.3012627,0.7427483,-0.4414856,,,,
120,1,0.7911676,,,,0.7911676,0.695909,0.0952586,,,,
121,1,1.3056211,,,,1.3056211,0.6918447,0.6137764,,,,
122,1,0.859043,,,,0.859043,0.4907782,0.3682648,,,,
123,1,0.3121409,,,,0.3121409,0.4256047,-0.1134638,,,,
124,1,0.9163392,,,,0.9163392,0.6013249,0.3150143,,,,
125,1,0.7114643,,,,0.7114643,0.6479151,0.0635492,,,,
126,1,0.5709247,,,,0.5709247,0.6109061,-0.0399814,,,,
127,1,0.4923677,,,,0.4923677,0.6313683,-0.1390006,,,,
128,1,0.356723,,,,0.356723,0.7684533,-0.4117303,,,,
129,1,0.9860534,,,,0.9860534,0.7629765,0.2230769,,,,
130,1,0.5168201,,,,0.5168201,0.9427378,-0.4259177,,,,
131,1,0.702183,,,,0.702183,0.8781233,-0.1759403,,,,
132,1,0.7890233,,,,0.7890233,0.6735697,0.1154536,,,,
133,1,0.4378653,,,,0.4378653,0.9876489,-0.5497836,,,,
134,1,0.3801398,,,,0.3801398,0.7792338,-0.399094,,,,
135,1,1.2279431,,,,1.2279431,0.6479183,0.5800248,,,,
136,1,0.4256241,,,,0.4256241,0.760296,-0.3346719,,,,
137,1,0.3220255,,,,0.3220255,0.7733078,-0.4512823,,,,
138,1,0.2872167,,,,0.2872167,0.8194549,-0.5322382,,,,
139,1,0.1568188,,,,0.1568188,0.7280017,-0.5711829,,,,
140,1,0.5193698,,,,0.5193698,0.8259592,-0.306589399,,,,
141,1,0.2714155,,,,0.2714155,0.6118833,-0.3404678,,,,
142,1,0.42024,,,,0.42024,0.8979908,-0.4777508,,,,
143,1,0.7555659,,,,0.7555659,0.9097392,-0.1541733,,,,
144,1,0.4290817,,,,0.4290817,0.8262194,-0.3971377,,,,
145,1,0.2811461,,,,0.2811461,0.909831,-0.6286849,,,,
146,1,0.387487,,,,0.387487,0.727013,-0.339526,,,,
147,1,0.2828131,,,,0.2828131,0.622615,-0.3398019,,,,
148,1,0.405637,,,,0.405637,0.8793756,-0.4737386,,,,
149,1,0.3132012,,,,0.3132012,0.6759652,-0.362764,,,,
150,1,0.369939,,,,0.369939,0.6223122,-0.2523732,,,,
151,1,0.545074,,,,0.545074,0.8414741,-0.2964001,,,,
152,1,0.3614693,,,,0.3614693,0.6687655,-0.3072962,,,,
153,1,0.3529389,,,,0.3529389,0.7412239,-0.388285,,,,
154,1,0.3202159,,,,0.3202159,0.9541355,-0.6339196,,,,
155,1,0.7148077,,,,0.7148077,1.2584307,-0.543623,,,,
156,1,0.3279515,,,,0.3279515,0.3227871,0.0051644,,,,
157,1,0.3090708,,,,0.3090708,0.1022595,0.2068113,,,,
158,1,0.3170242,,,,0.3170242,0.2640334,0.0529908,,,,
159,1,0.4217642,,,,0.4217642,0.7994401,-0.3776759,,,,
160,1,0.3666239,,,,0.3666239,1.1773491,-0.8107252,,,,
161,1,0.348828,,,,0.348828,0.818321,-0.469493,,,,
162,1,0.3142505,,,,0.3142505,0.8011185,-0.486868,,,,
163,1,0.2651213,,,,0.2651213,0.6014722,-0.3363509,,,,
164,1,0.3352716,,,,0.3352716,0.7276075,-0.392335901,,,,
165,1,0.2863441,,,,0.2863441,0.7366154,-0.4502713,,,,
166,1,0.2758192,,,,0.2758192,0.7270225,-0.4512033,,,,
167,1,0.2898907,,,,0.2898907,0.7225348,-0.4326441,,,,
168,1,0.3498628,,,,0.3498628,0.7255579,-0.3756951,,,,
169,1,0.3590138,,,,0.3590138,0.8870373,-0.5280235,,,,
170,1,0.7906308,,,,0.7906308,0.8081746,-0.0175438,,,,
171,1,0.7335058,,,,0.7335058,0.6159035,0.1176023,,,,
172,1,0.6644702,,,,0.6644702,0.6957188,-0.0312486,,,,
173,1,0.62983,,,,0.62983,0.8778475,-0.2480175,,,,
174,1,0.374766,,,,0.374766,0.7898206,-0.4150546,,,,
175,1,0.4204361,,,,0.4204361,0.8022641,-0.381828,,,,
176,1,0.712056,,,,0.712056,0.6092584,0.1027976,,,,
177,1,0.3256086,,,,0.3256086,0.8134468,-0.4878382,,,,
178,1,0.0761057,,,,0.0761057,0.3363129,-0.2602072,,,,
179,1,0.2898696,,,,0.2898696,0.7007756,-0.410906,,,,
180,1,0.2655091,,,,0.2655091,0.756754,-0.4912449,,,,
181,1,0.3090463,,,,0.3090463,0.6462198,-0.3371735,,,,
182,1,0.3052209,,,,0.3052209,0.6530165,-0.3477956,,,,
183,1,0.7123776,,,,0.7123776,0.2902178,0.4221598,,,,
184,1,0.3007854,,,,0.3007854,0.2022429,0.0985425,,,,
185,1,0.3810068,,,,0.3810068,0.2082851,0.1727217,,,,
186,1,0.3253454,,,,0.3253454,0.43077,-0.1054246,,,,
187,1,0.4135519,,,,0.4135519,0.3879922,0.0255597,,,,
188,1,0.4052068,,,,0.4052068,1.0042119,-0.5990051,,,,
189,1,0.3497747,,,,0.3497747,0.7022622,-0.3524875,,,,
190,1,0.2881999,,,,0.2881999,0.7604073,-0.4722074,,,,
191,1,0.2980363,,,,0.2980363,0.7457492,-0.447712901,,,,
192,1,0.2983588,,,,0.2983588,1.2846877,-0.9863289,,,,
193,1,0.3089871,,,,0.3089871,0.9260599,-0.6170728,,,,
194,1,0.4083456,,,,0.4083456,0.6911696,-0.282824,,,,
195,1,0.979715,,,,0.979715,0.9931608,-0.0134458,,,,
196,1,0.3845807,,,,0.3845807,0.6322021,-0.2476214,,,,
197,1,0.4582918,,,,0.4582918,0.9659407,-0.5076489,,,,
198,1,0.2841402,,,,0.2841402,0.7285988,-0.4444586,,,,
199,1,0.3687636,,,,0.3687636,0.6292663,-0.2605027,,,,
0,0,0.4026908,,,,,,,,,,
1,1,1.5911171,,,,,,,,,,
2,1,1.0021019,,,,,,,,,,
3,1,0.5909163,,,,,,,,,,
4,1,0.490947,,,,,,,,,,
5,0,0.585343,,,,,,,,,,
6,1,1.2796182,,,,,,,,,,
7,1,0.7252431,,,,,,,,,,
8,1,1.144812,,,,,,,,,,
9,1,0.7369766,,,,,,,,,,
10,1,0.7189216,,,,,,,,,,
11,1,0.5967896,,,,,,,,,,
12,1,0.8834519,,,,,,,,,,
13,1,0.7321408,,,,,,,,,,
